"voltage","time"
24.688,1786827899900
24.688,1786827899762
24.688,1786827899611
24.688,1786827899499
24.688,1786827899370
24.688,1786827899243
24.688,1786827899088
24.688,1786827898948
24.652,1786827898807
24.652,1786827898695
24.652,1786827898583
24.652,1786827898430
24.652,1786827898139
24.652,1786827898028
24.652,1786827897775
24.652,1786827897618
24.679,1786827897467
24.679,1786827897341
24.679,1786827897229
24.679,1786827897097
24.679,1786827896958
24.679,1786827896796
24.679,1786827896670
24.679,1786827896544
24.679,1786827896427
24.679,1786827896291
24.652,1786827896143
24.652,1786827896003
24.652,1786827895873
24.652,1786827895761
24.652,1786827895474
24.652,1786827895313
24.652,1786827895201
24.652,1786827895074
24.652,1786827894964
24.706,1786827894795
24.706,1786827894656
24.706,1786827894515
24.706,1786827894389
24.706,1786827894277
24.706,1786827893984
24.706,1786827893845
24.706,1786827893717
24.706,1786827893585
24.706,1786827893473
24.625,1786827893310
24.625,1786827893169
24.625,1786827893038
24.625,1786827892912
24.625,1786827892800
24.625,1786827892654
24.625,1786827892494
24.625,1786827892352
24.625,1786827892240
24.625,1786827892116
24.688,1786827891834
24.688,1786827891681
24.688,1786827891559
24.688,1786827891447
24.688,1786827891324
24.688,1786827891031
24.688,1786827890890
24.688,1786827890774
24.652,1786827890640
24.652,1786827890515
24.652,1786827890361
24.652,1786827890218
24.652,1786827890091
24.652,1786827889969
24.652,1786827889857
24.652,1786827889706
24.652,1786827889559
24.652,1786827889419
24.706,1786827889282
24.706,1786827889170
24.706,1786827889024
24.706,1786827888884
24.706,1786827888745
24.706,1786827888608
24.706,1786827888479
24.706,1786827888367
24.706,1786827888228
24.706,1786827888076
24.706,1786827887947
24.661,1786827887810
24.661,1786827887698
24.661,1786827887559
24.661,1786827887273
24.661,1786827887137
24.661,1786827887012
24.661,1786827886888
24.661,1786827886772
24.67,1786827886497
24.67,1786827886343
24.67,1786827886213
24.67,1786827885974
24.67,1786827885829
24.67,1786827885668
24.67,1786827885543
24.67,1786827885417
24.67,1786827885291
24.67,1786827885156
24.67,1786827885009
24.67,1786827884871
24.67,1786827884744
24.67,1786827884618
24.67,1786827884494
24.67,1786827884352
24.67,1786827884201
24.67,1786827884060
24.67,1786827883946
24.688,1786827883813
24.688,1786827883545
24.688,1786827883385
24.688,1786827883273
24.688,1786827883026
24.688,1786827882873
24.688,1786827882732
24.688,1786827882590
24.688,1786827882479
24.679,1786827882342
24.679,1786827882213
