"time","DC Current","AC Current"
1786825500007,0,0
1786825500033,0,0
1786825500059,0,0
1786825500085,0,0
1786825500112,0,0
1786825500138,0,0
1786825500164,0,0
1786825500190,0,0
1786825500216,0,0
1786825500243,0,0
1786825500269,0,0
1786825500295,0,0
1786825500321,0,0
1786825500347,0,0
1786825500373,0,0
1786825500399,0,0
1786825500425,0,0
1786825500451,0,0
1786825500477,0,0
1786825500504,0,0
1786825500530,0,0
1786825500556,0,0
1786825500582,0,0
1786825500608,0,0
1786825500634,0,0
1786825500660,0,0
1786825500686,0,0
1786825500712,0,0
1786825500738,0,0
1786825500764,0,0
1786825500790,0,0
1786825500816,0,0
1786825500842,0,0
1786825500868,0,0
1786825500895,0,0
1786825500920,0,0
1786825500947,0,0
1786825500973,0,0
1786825500999,0,0
1786825501025,0,0
1786825501051,0,0
1786825501077,0,0
1786825501103,0,0
1786825501130,0,0
1786825501156,0,0
1786825501182,0,0
1786825501208,0,0
1786825501234,0,0
1786825501260,0,0
1786825501286,0,0
1786825501312,0,0
1786825501339,0,0
1786825501365,0,0
1786825501391,0,0
1786825501417,0,0
1786825501443,0,0
1786825501469,0,0
1786825501495,0,0
1786825501521,0,0
1786825501547,0,0
1786825501573,0,0
1786825501599,0,0
1786825501626,0,0
1786825501652,0,0
1786825501678,0,0
1786825501704,0,0
1786825501731,0,0
1786825501757,0,0
1786825501783,0,0
1786825501809,0,0
1786825501835,0,0
1786825501861,0,0
1786825501887,0,0
1786825501913,0,0
1786825501939,0,0
1786825501965,0,0
1786825501992,0,0
1786825502018,0,0
1786825502044,0,0
1786825502070,0,0
1786825502096,0,0
1786825502122,0,0
1786825502148,0,0
1786825502174,0,0
1786825502200,0,0
1786825502226,0,0
1786825502252,0,0
1786825502278,0,0
1786825502304,0,0
1786825502330,0,0
1786825502356,0,0
1786825502382,0,0
1786825502408,0,0
1786825502434,0,0
1786825502461,0,0
1786825502487,0,0
1786825502513,0,0
1786825502539,0,0
1786825502565,0,0
1786825502591,0,0
1786825502617,0,0
1786825502643,0,0
1786825502669,0,0
1786825502695,0,0
1786825502721,0,0
1786825502747,0,0
1786825502773,0,0
1786825502800,0,0
