"DTI Voltage","time"
0,1786825500007
0,1786825500033
0,1786825500059
0,1786825500085
0,1786825500111
0,1786825500138
0,1786825500164
0,1786825500190
1,1786825500216
0,1786825500242
0,1786825500269
0,1786825500295
0,1786825500321
0,1786825500347
0,1786825500373
0,1786825500399
0,1786825500425
0,1786825500451
0,1786825500477
1,1786825500503
1,1786825500530
0,1786825500556
0,1786825500582
0,1786825500608
0,1786825500634
1,1786825500660
0,1786825500686
1,1786825500712
0,1786825500738
0,1786825500764
0,1786825500790
0,1786825500816
1,1786825500842
0,1786825500868
0,1786825500894
1,1786825500920
0,1786825500946
0,1786825500972
0,1786825500999
0,1786825501025
0,1786825501051
0,1786825501077
0,1786825501103
0,1786825501129
0,1786825501155
0,1786825501181
0,1786825501208
0,1786825501234
0,1786825501260
0,1786825501286
0,1786825501312
0,1786825501338
0,1786825501364
0,1786825501390
1,1786825501416
1,1786825501443
0,1786825501469
0,1786825501495
0,1786825501521
1,1786825501547
0,1786825501573
0,1786825501599
0,1786825501626
0,1786825501652
0,1786825501678
0,1786825501704
1,1786825501730
0,1786825501756
0,1786825501782
1,1786825501809
0,1786825501835
0,1786825501861
0,1786825501887
0,1786825501913
0,1786825501939
0,1786825501965
0,1786825501991
0,1786825502017
1,1786825502043
0,1786825502070
0,1786825502096
0,1786825502122
0,1786825502148
0,1786825502174
1,1786825502200
0,1786825502226
0,1786825502252
1,1786825502278
0,1786825502304
0,1786825502330
0,1786825502356
0,1786825502382
0,1786825502408
1,1786825502434
0,1786825502460
0,1786825502486
0,1786825502512
0,1786825502539
0,1786825502565
0,1786825502591
0,1786825502617
0,1786825502643
0,1786825502669
1,1786825502695
0,1786825502721
0,1786825502747
0,1786825502773
0,1786825502799
0,1786825502825
0,1786825502851
1,1786825502878
0,1786825502904
0,1786825502930
1,1786825502956
1,1786825502982
0,1786825503008
0,1786825503034
0,1786825503060
1,1786825503086
1,1786825503112
0,1786825503138
1,1786825503164
0,1786825503191
1,1786825503217
0,1786825503243
1,1786825503269
0,1786825503295
0,1786825503321
0,1786825503347
0,1786825503373
1,1786825503399
0,1786825503425
0,1786825503452
0,1786825503478
0,1786825503504
0,1786825503530
1,1786825503556
0,1786825503582
0,1786825503608
0,1786825503635
1,1786825503661
0,1786825503687
0,1786825503713
1,1786825503739
0,1786825503765
0,1786825503791
0,1786825503817
1,1786825503843
0,1786825503869
0,1786825503895
0,1786825503922
0,1786825503948
1,1786825503974
0,1786825504000
0,1786825504027
0,1786825504053
0,1786825504079
0,1786825504105
0,1786825504131
1,1786825504157
1,1786825504183
0,1786825504210
0,1786825504236
0,1786825504262
1,1786825504288
1,1786825504314
0,1786825504340
0,1786825504366
0,1786825504392
0,1786825504418
0,1786825504444
0,1786825504470
0,1786825504497
0,1786825504523
0,1786825504549
0,1786825504575
0,1786825504601
1,1786825504627
0,1786825504653
0,1786825504680
0,1786825504706
1,1786825504732
0,1786825504758
